"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 16 23:28:21 GMT 2024","Sat Mar 16 23:28:33 GMT 2024","11938","","Users should be able to login","","Login with","","Login with","  User Story:
  As a user, I should be able to login with correct credentials to different accounts. And dashboard should be displayed.
  Accounts are: driver, sales manager, store manager"
"passed","Sat Mar 16 23:28:33 GMT 2024","Sat Mar 16 23:28:39 GMT 2024","6029","","Users should be able to login","","Login with","","Login with","  User Story:
  As a user, I should be able to login with correct credentials to different accounts. And dashboard should be displayed.
  Accounts are: driver, sales manager, store manager"
"passed","Sat Mar 16 23:28:40 GMT 2024","Sat Mar 16 23:28:44 GMT 2024","4469","","Some of the general functionality verifications","","Order placement scenario","","Order placement scenario",""
"passed","Sat Mar 16 23:28:51 GMT 2024","Sat Mar 16 23:28:53 GMT 2024","2280","","Some of the general functionality verifications","","Order placement scenario","","Order placement scenario",""
"passed","Sat Mar 16 23:28:33 GMT 2024","Sat Mar 16 23:28:47 GMT 2024","14490","","Cucumber Data Tables implementation practices","","Google search testing data table","","Google search testing data table","  Description: This feature describes practices for implementing Cucumber Data Tables."
"passed","Sat Mar 16 23:28:45 GMT 2024","Sat Mar 16 23:28:48 GMT 2024","3459","","Some of the general functionality verifications","","Order placement scenario","","Order placement scenario",""
"passed","Sat Mar 16 23:28:46 GMT 2024","Sat Mar 16 23:28:49 GMT 2024","3386","","Google search functionality with Scenario Outline","","Google search testing with Scenario Outline","","Google search testing with Scenario Outline","  User Story: As a user, when I'm on the google page
  I should be able to search whatever I want and see relevant information."
"passed","Sat Mar 16 23:28:39 GMT 2024","Sat Mar 16 23:28:45 GMT 2024","5781","","Users should be able to login","","Login with","","Login with","  User Story:
  As a user, I should be able to login with correct credentials to different accounts. And dashboard should be displayed.
  Accounts are: driver, sales manager, store manager"
"passed","Sat Mar 16 23:28:21 GMT 2024","Sat Mar 16 23:28:33 GMT 2024","11957","","Google search functionality with Scenario Outline","","Google search testing with Scenario Outline","","Google search testing with Scenario Outline","  User Story: As a user, when I'm on the google page
  I should be able to search whatever I want and see relevant information."
"passed","Sat Mar 16 23:28:39 GMT 2024","Sat Mar 16 23:28:44 GMT 2024","4374","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline","  Description: This feature describes the functionality related to searching on Wikipedia."
"passed","Sat Mar 16 23:28:44 GMT 2024","Sat Mar 16 23:28:48 GMT 2024","4066","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline","  Description: This feature describes the functionality related to searching on Wikipedia."
"passed","Sat Mar 16 23:28:21 GMT 2024","Sat Mar 16 23:28:21 GMT 2024","26","","Library login feature","","Login as librarian","","Login as librarian","  User Story:
  As a user, I should be able to login with correct credentials to different accounts. And dashboard should be displayed.
  Accounts are: librarian, student, admin"
"passed","Sat Mar 16 23:28:52 GMT 2024","Sat Mar 16 23:28:53 GMT 2024","1819","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline","  Description: This feature describes the functionality related to searching on Wikipedia."
"passed","Sat Mar 16 23:28:21 GMT 2024","Sat Mar 16 23:28:26 GMT 2024","4811","","Google search functionality","","Search page default title verification","","Search page default title verification","  Agile story: As a user, when I'm on the Google search page
  I should be able to search anything and see relevant results"
"passed","Sat Mar 16 23:28:42 GMT 2024","Sat Mar 16 23:28:46 GMT 2024","3560","","Google search functionality with Scenario Outline","","Google search testing with Scenario Outline","","Google search testing with Scenario Outline","  User Story: As a user, when I'm on the google page
  I should be able to search whatever I want and see relevant information."
"passed","Sat Mar 16 23:28:21 GMT 2024","Sat Mar 16 23:28:33 GMT 2024","11762","","Bing search functionality","","Search result title verification","","Search result title verification","  Agile story: As a user , when I'm on the Bing search page
  I should be able to search anything and see relevant results."
"passed","Sat Mar 16 23:28:26 GMT 2024","Sat Mar 16 23:28:29 GMT 2024","2348","","Cucumber Data Tables implementation practices","","Officer reads data about driver","","Officer reads data about driver","  Description: This feature describes practices for implementing Cucumber Data Tables."
"passed","Sat Mar 16 23:28:21 GMT 2024","Sat Mar 16 23:28:24 GMT 2024","2442","","Cucumber Data Tables implementation practices","","List of fruits and vegetables I like","","List of fruits and vegetables I like","  Description: This feature describes practices for implementing Cucumber Data Tables."
"passed","Sat Mar 16 23:28:21 GMT 2024","Sat Mar 16 23:28:25 GMT 2024","4118","","Web table app login functionality","","Positive login scenario","","Positive login scenario","  Agile story: User should be able to login with correct credentials"
"passed","Sat Mar 16 23:28:26 GMT 2024","Sat Mar 16 23:28:30 GMT 2024","3857","","Some of the general functionality verifications","","Payment options verification","","Payment options verification",""
"passed","Sat Mar 16 23:28:53 GMT 2024","Sat Mar 16 23:28:55 GMT 2024","1530","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline","  Description: This feature describes the functionality related to searching on Wikipedia."
"passed","Sat Mar 16 23:28:34 GMT 2024","Sat Mar 16 23:28:39 GMT 2024","5232","","Wiki search features","","Wikipedia Search Functionality Image Header Verification","","Wikipedia Search Functionality Image Header Verification","  Description: This feature describes the functionality related to searching on Wikipedia."
"passed","Sat Mar 16 23:28:21 GMT 2024","Sat Mar 16 23:28:26 GMT 2024","4478","","Some of the general functionality verifications","","Dropdown options verification","","Dropdown options verification",""
"passed","Sat Mar 16 23:28:29 GMT 2024","Sat Mar 16 23:28:33 GMT 2024","4113","","Cucumber Data Tables implementation practices","","User should be able to see all 12 months in months dropdown","","User should be able to see all 12 months in months dropdown","  Description: This feature describes practices for implementing Cucumber Data Tables."
"passed","Sat Mar 16 23:28:50 GMT 2024","Sat Mar 16 23:28:52 GMT 2024","1694","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline","  Description: This feature describes the functionality related to searching on Wikipedia."
"passed","Sat Mar 16 23:28:30 GMT 2024","Sat Mar 16 23:28:36 GMT 2024","5781","","Some of the general functionality verifications","","Order placement scenario","","Order placement scenario",""
"passed","Sat Mar 16 23:28:33 GMT 2024","Sat Mar 16 23:28:42 GMT 2024","8976","","Bing search functionality","","Search result title verification","","Search result title verification","  Agile story: As a user , when I'm on the Bing search page
  I should be able to search anything and see relevant results."
"passed","Sat Mar 16 23:28:26 GMT 2024","Sat Mar 16 23:28:33 GMT 2024","7015","","Google search functionality","","Search result title verification","","Search result title verification","  Agile story: As a user, when I'm on the Google search page
  I should be able to search anything and see relevant results"
"passed","Sat Mar 16 23:28:48 GMT 2024","Sat Mar 16 23:28:51 GMT 2024","2599","","Some of the general functionality verifications","","Order placement scenario","","Order placement scenario",""
"passed","Sat Mar 16 23:28:22 GMT 2024","Sat Mar 16 23:28:28 GMT 2024","6357","","Wiki search features","","Wikipedia Search Functionality Title Verification","","Wikipedia Search Functionality Title Verification","  Description: This feature describes the functionality related to searching on Wikipedia."
"passed","Sat Mar 16 23:28:22 GMT 2024","Sat Mar 16 23:28:22 GMT 2024","15","","Library login feature","","Login as admin","","Login as admin","  User Story:
  As a user, I should be able to login with correct credentials to different accounts. And dashboard should be displayed.
  Accounts are: librarian, student, admin"
