"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 16 23:28:45 GMT 2024","Sat Mar 16 23:28:50 GMT 2024","4606","","Users should be able to login","","Login with","","Login with","  User Story:
  As a user, I should be able to login with correct credentials to different accounts. And dashboard should be displayed.
  Accounts are: driver, sales manager, store manager"
"passed","Sat Mar 16 23:28:28 GMT 2024","Sat Mar 16 23:28:34 GMT 2024","5955","","Wiki search features","","Wikipedia Search Functionality Header Verification","","Wikipedia Search Functionality Header Verification","  Description: This feature describes the functionality related to searching on Wikipedia."
"passed","Sat Mar 16 23:28:29 GMT 2024","Sat Mar 16 23:28:33 GMT 2024","3650","","Web table app login functionality","","Positive login scenario","","Positive login scenario","  Agile story: User should be able to login with correct credentials"
"passed","Sat Mar 16 23:28:33 GMT 2024","Sat Mar 16 23:28:42 GMT 2024","8744","","Google search functionality with Scenario Outline","","Google search testing with Scenario Outline","","Google search testing with Scenario Outline","  User Story: As a user, when I'm on the google page
  I should be able to search whatever I want and see relevant information."
"passed","Sat Mar 16 23:28:26 GMT 2024","Sat Mar 16 23:28:29 GMT 2024","3598","","Web table app login functionality","","Positive login scenario","","Positive login scenario","  Agile story: User should be able to login with correct credentials"
"passed","Sat Mar 16 23:28:22 GMT 2024","Sat Mar 16 23:28:22 GMT 2024","17","","Library login feature","","Login as student","","Login as student","  User Story:
  As a user, I should be able to login with correct credentials to different accounts. And dashboard should be displayed.
  Accounts are: librarian, student, admin"
"passed","Sat Mar 16 23:28:53 GMT 2024","Sat Mar 16 23:28:56 GMT 2024","2547","","Users should be able to login","","Login with","","Login with","  User Story:
  As a user, I should be able to login with correct credentials to different accounts. And dashboard should be displayed.
  Accounts are: driver, sales manager, store manager"
"passed","Sat Mar 16 23:28:48 GMT 2024","Sat Mar 16 23:28:50 GMT 2024","2063","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline","  Description: This feature describes the functionality related to searching on Wikipedia."
"passed","Sat Mar 16 23:28:36 GMT 2024","Sat Mar 16 23:28:40 GMT 2024","4488","","Some of the general functionality verifications","","Order placement scenario","","Order placement scenario",""
"passed","Sat Mar 16 23:28:50 GMT 2024","Sat Mar 16 23:28:53 GMT 2024","3329","","Users should be able to login","","Login with","","Login with","  User Story:
  As a user, I should be able to login with correct credentials to different accounts. And dashboard should be displayed.
  Accounts are: driver, sales manager, store manager"
"passed","Sat Mar 16 23:28:24 GMT 2024","Sat Mar 16 23:28:26 GMT 2024","2261","","Cucumber Data Tables implementation practices","","List of the animals we love","","List of the animals we love","  Description: This feature describes practices for implementing Cucumber Data Tables."
